OBJECTID,StreetID,Name,Type,LeftFrom,LeftTo,RightTo,SegmentID,Surface,Class,Curb,Width,Miles,Cross1,Cross12,Cross2,Cross22,GlobalID
5612,945.0,GOVERNOR SCOTT,RD,5054,5098,5099,8091,BST,Local,No,,0.12491,GOVERNOR MOORE RD, ,TRIPLE CREEK DR,MILL CREEK RD,{F5D2578E-E0AC-432F-B08C-564B115CC020}
5613,945.0,GOVERNOR SCOTT,RD,5052,5052,5053,8092,BST,Local,No,,0.02938,WEST GATE RD, ,MOSSY TIMBER RDG,,{53B7C6B9-C5AE-499F-A3F0-66500A425D60}
5614,3617.0,OVERWATER,TRL,501,525,524,8093,Unpaved,Private,No,,0.20451,PEARSON RD,PEARSON RD,,,{522D3760-63D8-4154-B791-46CE84057385}
5615,1853.0,PEARSON,RD,1400,2118,2219,8094,,Local,,,0.93923,WALNUT GROVE CH RD,WALNUT GROVE CH RD,OVERWATER TRL, ,{13DEBCE5-EEE3-4613-B1AD-3C1E4306D0BF}
5616,1853.0,PEARSON,RD,2220,2224,2223,8095,,Local,,,0.14514,OVERWATER TRL,,EVELYN LN, ,{2A90FAC6-61E2-41FA-AFD6-BB5287EDB81E}
5617,4841.0,BREIFNE,CT,201,227,228,8096,,Private,No,,0.12659,US 70 W,US 70 W,GYM RD,GYM RD,{6C2C7D09-EE84-4E9D-AEA8-D8C98A687DA7}
5618,2491.0,US 70,,3006,3132,3131,8097,,Major Coll,,,0.23455,NUTHATCH LN, ,FORREST AVE,AUBREY GRAHAM LN,{928D100B-708A-4618-870A-9F1F00CFFA4A}
5619,2491.0,US 70,,2904,3004,3005,8098,Asphalt,Major Coll,No,,0.07739,FRANKLIN-ADAMS RD, ,NUTHATCH LN, ,{346F0E54-52B1-45F4-BED2-BF8F9DAF0B79}
5620,993.0,GYM,RD,2920,3120,3119,8099,Asphalt,Local,No,,0.19976,NUTHATCH LN,,FORREST AVE,FORREST AVE,{27E166D3-7755-478B-B1B0-12B57EEBC334}
5621,993.0,GYM,RD,2900,2918,2917,8100,Asphalt,Local,No,,0.11104,S LLOYD DAIRY RD,,NUTHATCH LN,,{D06BF53C-E878-4F02-BF9B-BCA262FC304C}
5622,2450.0,TRIPP,RD,1400,1440,1439,8102,Unpaved,Private,No,,0.287,OAK FOREST RD,TRIPP RD, , ,{6070D6EF-BBFE-44B0-A55C-339C287ED57E}
5623,337.0,CHURTON,ST,0,0,0,8103,Asphalt,Prin Art,Yes,,0.01282,EXCHANGE PARK LN, ,US 70-A, ,{6D582E59-88A4-46A8-AA0B-C08A08711B7E}
5624,337.0,CHURTON,ST,201,227,230,8104,Asphalt,Prin Art,Yes,,0.08543,MARGARET LN,MARGARET LN,EXCHANGE PARK LN, ,{67E559FD-B5FB-43BF-A75B-EDF70B729010}
5625,1649.0,NASH AND KOLLOCK,ST,101,115,110,8105,BST,Local,Yes,,0.08894,S CHURTON ST,S CHURTON ST,,,{C35C4FE5-C064-40B6-B50E-91F06D8E1AC8}
5626,785.0,EXCHANGE PARK,LN,107,165,164,8106,BST,Local,No,,0.10982,CHURTON ST,CHURTON ST, , ,{4F3F9FE0-9C82-4107-A22B-70C8E742CC29}
5627,785.0,EXCHANGE PARK,LN,101,105,106,8107,BST,Local,No,,0.0184,CHURTON ST,CHURTON ST, , ,{CBA7B501-840C-4636-BD9F-43C428BB829F}
5628,3960.0,VERBENA,TRL,101,225,224,8108,Unpaved,Private,No,,0.19509,UNIVERSITY STATION RD,UNIVERSITY STATION RD,,,{53BB6825-3D35-4583-B29A-8F8179DE3DAC}
5629,2484.0,UNIVERSITY STATION,RD,2920,2930,2929,8109,Asphalt,Local,No,,0.07564,I 85 N,I 85 N,STATION RD,,{416ACF8C-2C56-45FC-B73D-8F94AA380BD5}
5630,2484.0,UNIVERSITY STATION,RD,2800,2810,2811,8110,Asphalt,Local,No,,0.06052,WRENN RD, ,VERBENA TRL,,{D751FE90-05CA-402D-B6A9-FBD4A88CD2F3}
5631,803.0,FAUCETTE MILL,RD,904,1898,1899,8112,Asphalt,Local,No,,0.90843,FAUCETTE MILL RD, ,FRANK PERRY RD, ,{77ECCDD9-D08F-48AA-90B4-052683E6A59B}
5632,803.0,FAUCETTE MILL,RD,604,806,805,26855,Asphalt,Local,No,,0.24851,THOMPSON CT, ,BROKEN J PL, ,{4404AD33-0FE4-4248-BE72-3ADEA3E55E20}
5633,3652.0,LEXI,LN,100,226,225,8114,Unpaved,Private,No,,0.36015,MURPHY SCHOOL RD,MURPHY SCHOOL RD,,,{9C0C0A08-6DDE-467D-86F8-5D9F9924AF57}
5634,875.0,FRIENDS SCHOOL,RD,5222,5308,5309,8116,,Local,,,0.06905,DEER NEST LN, ,NATURE TRAIL LN, ,{2BAF2549-74A1-4CB2-9F31-86B329CB4214}
5635,1729.0,ODE TURNER,RD,2900,2914,2915,8118,,Local,,,0.08274,TRUEHEART LN, ,TUPELO DR, ,{384DD5E3-79F7-44B5-898E-CA19BEB8951A}
5636,1729.0,ODE TURNER,RD,2812,2820,2821,8119,,Local,,,0.04259,JACOBS TRL, ,TRUEHEART LN, ,{36015BFC-D4FD-40E9-B41F-FFA1091BA271}
5637,2552.0,WALKER,RD,2300,2498,2499,8125,Asphalt,Local,,,0.29855,NC 57,NC 57,ELAINE CT, ,{D7DBC422-E496-4163-947B-72255DCE4AE8}
5638,2552.0,WALKER,RD,2500,2598,2599,8126,Asphalt,Local,,,0.18577,ELAINE CT,,MILLER RD, ,{F226DB9E-9053-426C-B4CD-21CE52473360}
